ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5 ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:40] Train Step 0000/10000, Batch Size = 128, Model type RNN, Examples/Sec = 6599.36, Accuracy = 0.09, Loss = 2.320
[2019-11-27 17:40] Train Step 0010/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25032.45, Accuracy = 0.31, Loss = 1.759
[2019-11-27 17:40] Train Step 0020/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25119.12, Accuracy = 0.41, Loss = 1.590
[2019-11-27 17:40] Train Step 0030/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24939.42, Accuracy = 0.48, Loss = 1.328
[2019-11-27 17:40] Train Step 0040/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25262.14, Accuracy = 0.60, Loss = 1.179
[2019-11-27 17:40] Train Step 0050/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25115.59, Accuracy = 0.46, Loss = 1.180
[2019-11-27 17:40] Train Step 0060/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23012.04, Accuracy = 0.48, Loss = 1.190
[2019-11-27 17:40] Train Step 0070/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25062.83, Accuracy = 0.62, Loss = 0.967
[2019-11-27 17:40] Train Step 0080/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24792.01, Accuracy = 0.77, Loss = 0.842
[2019-11-27 17:40] Train Step 0090/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24960.29, Accuracy = 0.84, Loss = 0.729
[2019-11-27 17:40] Train Step 0100/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24658.78, Accuracy = 0.52, Loss = 0.937
[2019-11-27 17:40] Train Step 0110/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25086.25, Accuracy = 0.65, Loss = 0.825
[2019-11-27 17:40] Train Step 0120/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24689.40, Accuracy = 0.69, Loss = 0.737
[2019-11-27 17:40] Train Step 0130/10000, Batch Size = 128, Model type RNN, Examples/Sec = 24511.30, Accuracy = 0.74, Loss = 0.622
[2019-11-27 17:40] Train Step 0140/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25156.78, Accuracy = 0.82, Loss = 0.584
[2019-11-27 17:40] Train Step 0150/10000, Batch Size = 128, Model type RNN, Examples/Sec = 23301.69, Accuracy = 0.72, Loss = 0.676
[2019-11-27 17:40] Train Step 0160/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25078.05, Accuracy = 0.71, Loss = 0.605
[2019-11-27 17:40] Train Step 0170/10000, Batch Size = 128, Model type RNN, Examples/Sec = 25007.96, Accuracy = 0.83, Loss = 0.542
