ERROR: Unable to locate a modulefile for 'torque/default'
ERROR: Unable to locate a modulefile for 'oldwheezy/1.0'
ERROR: Unable to locate a modulefile for 'licenses/1.0'
ERROR: Unable to locate a modulefile for 'stdenv/1.3'
ERROR: Unable to locate a modulefile for 'libgfortran/32/1'
----------------------------------------------INPUT LENGTH  5 ------------------------

/home/lgpu0119/DL_assignments_2019/assignment_2/part1/train.py:104: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  torch.nn.utils.clip_grad_norm(model.parameters(), max_norm=config.max_norm)
[2019-11-27 17:40] Train Step 0000/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 6207.89, Accuracy = 0.15, Loss = 2.301
[2019-11-27 17:40] Train Step 0010/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7680.56, Accuracy = 0.13, Loss = 2.250
[2019-11-27 17:40] Train Step 0020/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7562.73, Accuracy = 0.10, Loss = 2.065
[2019-11-27 17:40] Train Step 0030/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7301.39, Accuracy = 0.29, Loss = 1.789
[2019-11-27 17:40] Train Step 0040/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7804.83, Accuracy = 0.21, Loss = 1.766
[2019-11-27 17:40] Train Step 0050/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7627.31, Accuracy = 0.22, Loss = 1.638
[2019-11-27 17:40] Train Step 0060/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7778.82, Accuracy = 0.27, Loss = 1.506
[2019-11-27 17:40] Train Step 0070/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8093.33, Accuracy = 0.49, Loss = 1.337
[2019-11-27 17:40] Train Step 0080/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8082.61, Accuracy = 0.42, Loss = 1.342
[2019-11-27 17:41] Train Step 0090/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8580.74, Accuracy = 0.45, Loss = 1.183
[2019-11-27 17:41] Train Step 0100/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7946.58, Accuracy = 0.51, Loss = 1.124
[2019-11-27 17:41] Train Step 0110/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8246.10, Accuracy = 0.38, Loss = 1.200
[2019-11-27 17:41] Train Step 0120/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8479.50, Accuracy = 0.48, Loss = 1.048
[2019-11-27 17:41] Train Step 0130/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7997.24, Accuracy = 0.57, Loss = 0.979
[2019-11-27 17:41] Train Step 0140/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7694.76, Accuracy = 0.64, Loss = 0.909
[2019-11-27 17:41] Train Step 0150/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 8127.14, Accuracy = 0.59, Loss = 0.904
[2019-11-27 17:41] Train Step 0160/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7990.22, Accuracy = 0.69, Loss = 0.848
[2019-11-27 17:41] Train Step 0170/10000, Batch Size = 128, Model type LSTM, Examples/Sec = 7777.24, Accuracy = 0.76, Loss = 0.785
